Date_Time,DO_mgL,Spec_con,DO_Sat,Water_Temp
2023-06-12 00:00,6.9,554,76,19.5
2023-06-12 01:00,6.5,555,72,19.5
2023-06-12 02:00,6.7,551,74,19.3
2023-06-12 03:00,6.6,554,73,19.3
2023-06-12 04:00,6.3,556,70,19.4
2023-06-12 05:00,6.2,556,68,19.3
2023-06-12 06:00,6.1,557,67,19.3
2023-06-12 07:00,6.1,557,67,19.2
2023-06-12 08:00,6.2,556,68,19
2023-06-12 09:00,6.3,555,69,18.9
2023-06-12 10:00,6.5,557,71,18.9
2023-06-12 11:00,6.6,558,72,18.9
2023-06-12 12:00,6.9,535,76,19.2
2023-06-12 13:00,7.1,536,79,19.3
2023-06-12 14:00,7.4,535,82,19.4
2023-06-12 15:00,7.4,532,82,19.5
2023-06-12 16:00,7.3,535,81,19.6
2023-06-12 17:00,7.6,532,84,19.8
2023-06-12 18:00,7.2,530,80,19.9
2023-06-12 19:00,7.4,525,83,20
2023-06-12 20:00,7.2,526,81,20
2023-06-12 21:00,7.3,527,82,19.9
2023-06-12 22:00,7.2,530,80,19.8
2023-06-12 23:00,7.2,535,81,19.7
2023-06-13 00:00,7.3,536,81,19.7
2023-06-13 01:00,7.1,537,78,19.6
2023-06-13 02:00,6.9,538,76,19.6
2023-06-13 03:00,6.6,541,73,19.6
2023-06-13 04:00,6.4,539,71,19.5
2023-06-13 05:00,6.4,540,71,19.5
2023-06-13 06:00,6.4,538,70,19.4
2023-06-13 07:00,6.5,537,72,19.4
2023-06-13 08:00,6.4,541,70,19.4
2023-06-13 09:00,6.3,542,70,19.4
2023-06-13 10:00,6.2,546,69,19.4
2023-06-13 11:00,6.5,543,72,19.4
2023-06-13 12:00,6.5,542,72,19.4
2023-06-13 13:00,6.4,539,71,19.4
2023-06-13 14:00,6.6,537,73,19.4
2023-06-13 15:00,6.6,537,74,19.4
2023-06-13 16:00,6.8,538,76,19.4
2023-06-13 17:00,6.7,539,74,19.4
2023-06-13 18:00,6.7,545,74,19.4
2023-06-13 19:00,6.7,539,74,19.4
2023-06-13 20:00,6.8,539,75,19.3
2023-06-13 21:00,6.8,540,75,19.3
2023-06-13 22:00,6.6,543,72,19.3
2023-06-13 23:00,6.6,543,72,19.2
2023-06-14 00:00,6.4,545,70,19.2
2023-06-14 01:00,6.2,544,69,19.2
2023-06-14 02:00,6.4,544,70,19.1
2023-06-14 03:00,6.2,544,68,19.1
2023-06-14 04:00,6.1,544,67,19.1
2023-06-14 05:00,5.8,546,64,19.1
2023-06-14 06:00,5.7,549,63,19
2023-06-14 07:00,5.5,551,60,19
2023-06-14 08:00,5.5,549,61,19
2023-06-14 09:00,5.2,549,57,19
2023-06-14 10:00,5.7,548,62,19
2023-06-14 11:00,5.7,548,62,19
2023-06-14 12:00,5.8,547,64,19.1
2023-06-14 13:00,6.4,552,70,19.5
2023-06-14 14:00,6.1,551,68,19.5
2023-06-14 15:00,6.6,551,74,20
2023-06-14 16:00,6.7,548,76,20.4
2023-06-14 17:00,6.8,549,77,20.3
2023-06-14 18:00,7,551,79,20.4
2023-06-14 19:00,7,550,79,20.6
2023-06-14 20:00,7.1,551,80,20.5
2023-06-14 21:00,6.4,551,71,20.1
2023-06-14 22:00,6.6,549,74,20.2
2023-06-14 23:00,6.6,551,74,19.9
2023-06-15 00:00,6.5,552,72,20
2023-06-15 01:00,6,550,67,19.7
2023-06-15 02:00,6.1,553,68,19.8
2023-06-15 03:00,6,552,66,19.8
2023-06-15 04:00,5.7,554,64,19.7
2023-06-15 05:00,5.5,557,62,19.7
2023-06-15 06:00,5.3,558,59,19.6
2023-06-15 07:00,5.5,558,61,19.5
2023-06-15 08:00,4.6,559,51,19.6
2023-06-15 09:00,5.4,562,60,19.5
2023-06-15 10:00,5.7,562,63,19.6
2023-06-15 11:00,5.8,563,64,19.7
2023-06-15 12:00,6.3,563,70,19.9
2023-06-15 13:00,6.7,566,75,20.1
2023-06-15 14:00,6.5,569,73,20
2023-06-15 15:00,6.5,570,73,20.1
2023-06-15 16:00,6.4,572,72,20.1
2023-06-15 17:00,6.7,573,76,20.1
2023-06-15 18:00,6.7,575,75,20.1
2023-06-15 19:00,6.5,575,73,20
2023-06-15 20:00,6.6,575,73,20
2023-06-15 21:00,6.5,575,72,19.8
2023-06-15 22:00,6.5,575,72,19.8
2023-06-15 23:00,6.3,574,70,19.7
2023-06-16 00:00,6.4,573,71,19.6
2023-06-16 01:00,6.2,575,68,19.6
2023-06-16 02:00,6.1,575,68,19.5
2023-06-16 03:00,6,575,66,19.4
2023-06-16 04:00,6.1,576,67,19.4
2023-06-16 05:00,6,575,66,19.3
2023-06-16 06:00,5.6,575,61,19.2
2023-06-16 07:00,5.6,575,61,19.2
2023-06-16 08:00,5.3,575,59,19.1
2023-06-16 09:00,5.9,575,65,19.1
2023-06-16 10:00,5.7,576,62,19.1
2023-06-16 11:00,6,575,66,19
2023-06-16 12:00,6.2,574,69,19
2023-06-16 13:00,6.1,576,66,19
2023-06-16 14:00,6.5,575,72,19.1
2023-06-16 15:00,6.8,575,75,19.3
2023-06-16 16:00,6.8,575,75,19.3
2023-06-16 17:00,7,578,78,19.4
2023-06-16 18:00,7.3,581,81,19.4
2023-06-16 19:00,7.2,582,80,19.4
2023-06-16 20:00,7.3,582,81,19.3
2023-06-16 21:00,7.3,582,80,19.3
2023-06-16 22:00,7.2,581,79,19.3
2023-06-16 23:00,6.9,581,76,19.2
2023-06-17 00:00,6.8,580,75,19.2
2023-06-17 01:00,6.4,581,71,19.2
2023-06-17 02:00,6.6,580,73,19.1
2023-06-17 03:00,5.9,581,65,19.1
2023-06-17 04:00,6.3,582,69,19.1
2023-06-17 05:00,6.2,581,68,19.1
2023-06-17 06:00,5.6,580,61,19
2023-06-17 07:00,5.7,582,63,19
2023-06-17 08:00,6,581,66,19
2023-06-17 09:00,5.8,581,63,19
2023-06-17 10:00,6.1,582,67,19
2023-06-17 11:00,6.5,582,71,19.1
2023-06-17 12:00,7.3,582,81,19.6
2023-06-17 13:00,8.3,584,93,20.2
2023-06-17 14:00,8.3,587,93,20
2023-06-17 15:00,8.5,588,96,20.5
2023-06-17 16:00,8.2,585,93,20.6
2023-06-17 17:00,10,590,115,21.2
2023-06-17 18:00,11.1,583,127,20.8
2023-06-17 19:00,8,593,92,21.3
2023-06-17 20:00,8.9,593,101,20.8
2023-06-17 21:00,9.2,592,104,20.3
2023-06-17 22:00,8.8,590,100,20.5
2023-06-17 23:00,9.7,589,109,20.4
2023-06-18 00:00,8.5,591,96,20.4
2023-06-18 01:00,8.9,594,100,20
2023-06-18 02:00,8,590,89,20.1
2023-06-18 03:00,8.8,591,99,20
2023-06-18 04:00,8.3,591,93,20
2023-06-18 05:00,8.3,592,92,19.9
2023-06-18 06:00,8.1,591,90,19.8
2023-06-18 07:00,8.3,591,93,19.8
2023-06-18 08:00,7.7,590,85,19.7
2023-06-18 09:00,7.8,592,87,19.7
2023-06-18 10:00,8.6,592,96,19.8
2023-06-18 11:00,9.4,590,106,20.3
2023-06-18 12:00,11.1,593,127,20.7
2023-06-18 13:00,9.7,592,110,20.4
2023-06-18 14:00,12.1,589,139,21
2023-06-18 15:00,13.7,592,158,21.6
2023-06-18 16:00,12,589,138,21.4
2023-06-18 17:00,12.8,591,149,21.9
2023-06-18 18:00,12.7,589,148,22
2023-06-18 19:00,13.4,589,156,22
2023-06-18 20:00,13.1,582,154,22.2
2023-06-18 21:00,12.1,581,141,21.9
2023-06-18 22:00,11.7,583,135,21.5
2023-06-18 23:00,12.2,584,140,21.2
2023-06-19 00:00,10.6,578,122,21.2
2023-06-19 01:00,10.1,579,115,20.8
2023-06-19 02:00,9.8,575,112,20.7
2023-06-19 03:00,10.3,585,117,20.8
2023-06-19 04:00,10.5,584,119,20.7
2023-06-19 05:00,10.4,586,118,20.6
2023-06-19 06:00,10,583,113,20.6
2023-06-19 07:00,8.8,564,99,20.4
2023-06-19 08:00,10.5,586,118,20.4
2023-06-19 09:00,9.3,564,104,20.1
2023-06-19 10:00,10.7,571,121,20.4
2023-06-19 11:00,12.2,549,137,20.4
2023-06-19 12:00,10.1,548,114,20.2
2023-06-19 13:00,10.2,557,115,20.6
2023-06-19 14:00,11.8,563,136,21.1
2023-06-19 15:00,12.4,567,142,21.1
2023-06-19 16:00,14.4,567,169,22.2
2023-06-19 17:00,15.7,562,184,22.1
2023-06-19 18:00,15.3,554,179,22.2
2023-06-19 19:00,14.9,551,174,22
2023-06-19 20:00,14,549,163,21.8
2023-06-19 21:00,13.3,549,154,21.6
2023-06-19 22:00,13,551,150,21.5
2023-06-19 23:00,12.7,552,147,21.4
2023-06-20 00:00,12.4,553,143,21.3
2023-06-20 01:00,11.8,552,136,21.2
2023-06-20 02:00,11.8,554,135,21.2
2023-06-20 03:00,11.4,558,131,21.2
2023-06-20 04:00,11.3,558,130,21.2
2023-06-20 05:00,11.3,559,130,21.2
2023-06-20 06:00,11.2,559,128,21.1
2023-06-20 07:00,11,559,126,21
2023-06-20 08:00,12,561,137,21.1
2023-06-20 09:00,11.3,555,130,21
2023-06-20 10:00,12.2,556,140,21.1
2023-06-20 11:00,13.2,558,152,21.2
2023-06-20 12:00,13.2,559,152,21.5
2023-06-20 13:00,13.6,555,157,21.6
2023-06-20 14:00,14.5,551,168,21.8
2023-06-20 15:00,14.5,548,169,21.9
2023-06-20 16:00,14.6,542,170,22.1
2023-06-20 17:00,14.2,541,166,22.1
2023-06-20 18:00,14.7,542,172,22
2023-06-20 19:00,14.4,542,168,22
2023-06-20 20:00,14.1,544,164,21.9
2023-06-20 21:00,13.7,544,159,21.8
2023-06-20 22:00,13.4,546,156,21.8
2023-06-20 23:00,12.9,548,150,21.7
2023-06-21 00:00,12.6,548,146,21.7
2023-06-21 01:00,12.3,548,142,21.6
2023-06-21 02:00,11.9,548,138,21.6
2023-06-21 03:00,11.4,549,132,21.5
2023-06-21 04:00,11.2,550,129,21.5
2023-06-21 05:00,10.9,548,125,21.5
2023-06-21 06:00,10.2,548,118,21.4
2023-06-21 07:00,10.3,548,119,21.4
2023-06-21 08:00,12.4,558,143,21.5
2023-06-21 09:00,13.1,560,152,21.7
2023-06-21 10:00,13.1,560,152,21.9
2023-06-21 11:00,13.2,556,153,21.8
2023-06-21 12:00,14.5,557,171,22.3
2023-06-21 13:00,16.1,555,190,22.5
2023-06-21 14:00,16.5,544,196,23
2023-06-21 15:00,16.3,535,194,23.1
2023-06-21 16:00,16.6,536,197,23.2
2023-06-21 17:00,15.5,532,184,23
2023-06-21 18:00,15.1,533,178,22.8
2023-06-21 19:00,14.3,533,169,22.8
2023-06-21 20:00,13.6,533,160,22.7
2023-06-21 21:00,13.1,534,154,22.6
2023-06-21 22:00,12.8,534,151,22.5
2023-06-21 23:00,12.3,532,145,22.4
2023-06-22 00:00,12,531,140,22.4
2023-06-22 01:00,11.9,531,140,22.4
2023-06-22 02:00,11.1,531,130,22.3
2023-06-22 03:00,11.3,533,132,22.3
2023-06-22 04:00,11.1,532,130,22.2
2023-06-22 05:00,10.8,532,127,22.2
2023-06-22 06:00,10.3,532,120,22.1
2023-06-22 07:00,10.2,532,119,22
2023-06-22 08:00,10.5,531,122,22
2023-06-22 09:00,11,532,129,22.1
2023-06-22 10:00,11.6,532,135,22.2
2023-06-22 11:00,12.1,531,142,22.3
2023-06-22 12:00,13,531,154,22.7
2023-06-22 13:00,13.7,530,163,22.8
2023-06-22 14:00,14.2,528,168,23
2023-06-22 15:00,14.8,524,176,23.3
2023-06-22 16:00,14.8,523,177,23.3
2023-06-22 17:00,15.1,522,180,23.3
2023-06-22 18:00,15,521,179,23.2
2023-06-22 19:00,14.7,519,175,23.2
2023-06-22 20:00,14.7,521,175,23.1
2023-06-22 21:00,14.2,521,168,23
2023-06-22 22:00,13.8,520,163,22.9
2023-06-22 23:00,12.9,522,153,22.9
2023-06-23 00:00,13,521,154,22.8
2023-06-23 01:00,12.7,522,150,22.8
2023-06-23 02:00,12.4,523,146,22.7
2023-06-23 03:00,11.8,523,139,22.7
2023-06-23 04:00,11.4,523,134,22.6
2023-06-23 05:00,11.4,522,134,22.6
2023-06-23 06:00,11.1,525,130,22.6
2023-06-23 07:00,10.5,523,124,22.5
2023-06-23 08:00,9.7,521,114,22.5
2023-06-23 09:00,9.6,520,112,22.5
2023-06-23 10:00,10.5,525,123,22.5
2023-06-23 11:00,11.1,522,131,22.6
2023-06-23 12:00,11.6,522,137,22.8
2023-06-23 13:00,12.7,523,151,23.1
2023-06-23 14:00,13.3,520,159,23.4
2023-06-23 15:00,13.7,516,165,23.7
2023-06-23 16:00,13.8,513,167,23.8
2023-06-23 17:00,14.2,513,171,23.8
2023-06-23 18:00,14,513,169,23.8
2023-06-23 19:00,14,513,169,23.8
2023-06-23 20:00,14.1,511,170,23.8
2023-06-23 21:00,14.1,512,169,23.7
2023-06-23 22:00,13.2,514,159,23.6
2023-06-23 23:00,13.3,514,160,23.5
2023-06-24 00:00,12.6,515,150,23.4
2023-06-24 01:00,12.2,515,145,23.3
2023-06-24 02:00,12.2,517,146,23.2
2023-06-24 03:00,11.8,519,141,23.1
2023-06-24 04:00,12.2,522,145,23
2023-06-24 05:00,11.1,522,131,23
2023-06-24 06:00,11.2,523,133,22.9
2023-06-24 07:00,11.3,520,133,22.9
2023-06-24 08:00,10.6,519,125,22.9
2023-06-24 09:00,10.8,521,128,22.8
2023-06-24 10:00,10,517,119,22.9
2023-06-24 11:00,11.5,519,136,23.1
2023-06-24 12:00,11.6,517,139,23.2
